nifty_before,call_volume,put_volume,total_call,total_put,nifty_after, WINNER,   AFTER 15 MIN NIFTY,  TOTAL POINTS UP/DOWN
24332,       -749000,     732000,       0,           0,       24340,    BUY CALL,  24357,               8+ 
24340,       500000,     -300000,       0,           0,       24328,    BUY PUT,   24315,              -12
24328,       600000,     900000,        0,           0,       24345,    BUY CALL,  24360,               15+
24340,     -20000000,    10000000,    183100000, 168100000,   24385,    BUY CALL,  24390,               5+
24385,     -2882000,     -8675000,    180000010, 180000010,   24374,    BUY PUT,   24360,               -14

24190.0,  4721000.0,   -17100000.0, 361200000.0, 196000000.0, 24196,    BUY CALL,  24200,               4+      
24225.0,   48295.0,      166000.0,  114600000.0,  98300000.0, 24231,    BUY CALL,  24214,                +6
24234.0,  2298000.0,     785000.0,  109200000.0,  96900000.0, 24222,    BUY PUT,   24220,               -12
24233,    -733000,       -1241000,  224300000,    236900000,  24230,    BUY PUT,   24225,                +3
24225,   295000,        -688000,    224500000,    237000000,  24230,    BUY CALL,  24239,                +5
24239,   -1733000,       509000,    221600000,    236200000,  24243,    BUY PUT,   24234,                +4
24230,   1426000,        -282000,   224300000,    239500000,  24233,    BUY CALL,  24241,                +3
24241,   -510000,        -629000,   224100000,    239500000,  24250,    BUY CALL,  24246,                +9
24246,   -39715,         -142000,   220200000,    241800000,  24238,    BUY PUT,   24239,                -8
24280,   -550000,        1261000,   255900000,    232300000,  24279,    BUY PUT,   24270,                 -1
24270,   -702000,        732000,    253300000,    234500000,  24269,    BUY PUT,   24230,                 -1
24269,   419000,         -6369000,  253700000,    228200000,  24243,    BUY PUT,   24221,                -26
24221,   8144000,       -4315000,   271800000,    203800000,  24210,    BUY PUT,   24203,                -11
24203,   2314000,       -1623000,   289800000,    200300000,  24202,    BUY PUT,   24180,                -1
24169,   -2800000,      -2382000,   311600000,    270000000,  24171,    BUY PUT,   24156,                +2
24156,   491000,        -7706000,   313900000,    262800000,  24157,    BUY PUT,   24157,                 +1
24157,   272000,        -3423000,   318200000,    261200000,  24144,    BUY PUT,   24129,                -13
24129,   1505000,       -4296000,   326400000,    247800000,  24129,    BUY PUT,   24126,                 -1
24126,   634000,        -2257000,   332500000,    240600000,  24132,    BUY CALL,  24140,                 +14
24140,   3789000,       184000,     339500000,    239700000,  24133,    BUY CALL,  24156,                 +16
24151,   -330000,       -1448000,   312600000,    200500000,  24154,    BUY CALL,  24161,                 +11
24182,   -6940000,      -4435000,   249900000,    177500000,  24182,    BUY CALL,  24219,                 +37
24169,   -460000,       -380000,    314900000,    201800000,  24167,    BUY PUT,   24160,                 -2
24267,  -106000,        -289000,    153400000,    103300000,  24266,    BUY CALL,  24275,                 -1
24278,  -702000,        -661000,    150500000,    102700000,  24279,    BUY CALL,  24290,                 +1
24274,  834000,         148000,     145000000,    103500000,  24273,    BUY PUT,   24263,                 -1
24285,  669000,         -530000,    125500000,    105600000,  24288,    BUY PUT,   24270,                 +3
24270,  2406000,        -88335,     133000000,    103300000,  24280,    BUY CALL,  24290,                 +10
24309,  705000,         -35165,     125000000,    105100000,  24308,    BUY PUT,   24285,                 -1
24321,  307000,         97305,      119900000,    105300000,  24330,    BUY PUT,   24302,                +9
24346,  3017000,        -2677000,   101500000,    111400000,  24342,    BUY PUT,   24302,                -4
24351,  3037000,        3815000,    89200000,     102300000,  24344,    BUY CALL,  24371,                -6
24364,  1170000,        1062000,    95200000,     113900000,  24365,    BUY PUT,   24346,                +1
24351,  3037000,        3815000,    89200000,     102300000,  24344,    BUY CALL,  24371,                -6
24154,  220000,         156000,     47000000,     41600000,   24149,    BUY CALL,  24175,                -5
24146,  329000,         498000,     197800000,    110900000,  24143,    BUY CALL,  24159,                -3
24159,  -312000,        372000,     198800000,    111900000,  24174,    BUY CALL,  24176,                +14
24186,  -768000,        619000,     189200000,    116000000,  24193,    BUY PUT,   24176,                +7
24176,  -475000,        292000,     187700000,    116900000,  24179,    BUY PUT,   24142,                +3
24142,  449000,        -2655000,    187700000,    114100000,  24138,    BUY PUT,   24123,               -4
24123,  983000,        -747000,     195100000,    111800000,  24131,    BUY CALL,  24148,                +8
24214,  2052000,       697000,      158700000,    105700000,  24225,    BUY PUT,   24196,                +11
24031,  3513000,       3165000,     270300000,    169300000,  24029,    BUY PUT,   24012,               -2
23997,  925000,       -1025000,     292600000,    173000000,  24001,    BUY CALL,  24002,                +2
24002,  1281000,       638000,      297000000,    173600000,  24009,    BUY CALL,  24017,                +7
24017,  -409000,      1902000,      296100000,    170600000,  24024,    BUY CALL,  24072,                +7
24055,   33540,       477000,       244900000,    221300000,  24064,    BUY PUT,   24047,                +9
24024,   -216000,    1873000,       246000000,    211500000,  24022,    BUY CALL,  24044,                =2
24044,   -2238000,   -2485000,      243700000,    200100000,  24054,    BUY CALL,  24094,                +10
24077,   -206000,    -11570,        321200000,    328700000,  24076,    BUY CALL,  24094,                -1
24094,   -9580000,   -2206000,      313400000,    327400000,  24092,    BUY CALL,  24110,                -2
24130,   2256000,    2559000,       275200000,    364500000,  24131,    BUY PUT,   24117,                +2
24119,   1292000,    1091000,       276800000,    371100000,  24114,    BUY PUT,   24104,                -5
24130,   393000,     -323000,       293300000,    378400000,  24129,    BUY PUT,   24106,                -1
24021,   1695000,    -1791000,      372700000,    287400000,  24019,    BUY PUT,   23990,                -3
23958,   1418000,    1692000,       415900000,    230100000,  23955,    BUY CALL,  23981,                -3
23874,   -940000,    -889000,       159200000,    131100000,  23886,    BUY CALL,  23903,                +12
23887,   -905000,    -417000,       153200000,    130600000,  23898,    BUY PUT,   23873,                +11
23866,   -769000,    671000,        161900000,    130300000,  23872,    BUY CALL,  23892,                +6
23812,   2115000,    -652000,       171700000,    112600000,  23805,    BUY CALL,  23838,                -7
23854,   -146000,    -254000,       152900000,    119000000,  23859,    BUY PUT,   23830,                -5
23848,   -861000,    751000,        156300000,    108400000,  23855,    BUY CALL,  23882,                +7
23900,   241000,    -194000,        153600000,    128800000,  23898,    BUY PUT,   23888,                -2
23805,   3176000,   40300,          174800000,    112600000,  23811,    BUY CALL,  23838,                +6
23848,   -861000,   751000,         156300000,    108400000,  23855,    BUY CALL,  23882,                +7
23904,   4295000,   5120000,        243200000,    176900000,  23910,    BUY CALL,  23945,                +6
23965,   535000,    1319000,        231500000,    231800000,  23974,    BUY CALL,  23982,                +9
23985,  636000,     1177000,        216800000,    252300000,  23978,    BUY PUT,   23959,                -7
23964,  2402000,    -3143000,       218900000,    249300000,  23952,    BUY PUT,   23940,                -12
23951,  -1784000,   -1248000,       239300000,    224400000,  23953,    BUY PUT,   23933,                 +2
23933,  1026000,    -355000,        238600000,    225900000,  23942,    BUY CALL,  23948,                 +9
23957,  -2120000,   -730000,        237300000,    221500000,  23956,    BUY PUT,   23937,                 -1
23822,  4763000,     895000,        288200000,    200600000,  23816,    BUY PUT,   23816,                 -6
23789,  2149000,    -689000,        320400000,    194500000,  23788,    BUY PUT,   23770,                 -1
23775,  169000,     -137000,        345200000,    189900000,  23774,    BUY CALL,  23787,                 -1
23785,  144000,    3210000,         347900000,    194800000,  23769,    BUY PUT,   23761,                -16
23784,  108000,    1080000,         339200000,    210400000,  23774,    BUY PUT,   23758,                 -10
23666,  6257000,   -1799000,        379700000,    234700000,  23659,    BUY CALL,  23707,                 -7
23698,  2100000,   4281000,         373500000,    266600000,  23693,    BUY PUT,   23671,                  -5
23689,   539000,   -999000,         390200000,    256700000,  23682,    BUY PUT,   23662,                  -7
23662,  6285000,   -4740000,        393400000,    259500000,  23676,    BUY CALL,  23684,                 +14
23668,  3156000,    -5661000,       398800000,    259700000,  23657,    BUY PUT,   23644,                  -11
23644,   2511000,   -5003000,       410200000,    249400000,  23649,    BUY CALL,  23658,                  +5
23479,   1230000,   251000,         187500000,    120700000,  23487,    BUY CALL,  23547,                  +8
23528,   138000,    -285000,        163200000,    132500000,  23517,    BUY PUT,   23488,                 -11
23475,   3283000,   498000,         167900000,    109400000,  23484,    BUY CALL,  23537,                  +9
23409,   2932000,  -2481000,        205300000,    127200000,  23417,    BUY CALL,  23438,                  +8
23436,   67405,    797000,          203500000,    128100000,  23448,    BUY PUT,   23410,                 +12
23418,   2549000,  381000,          190600000,    117600000,  23422,    BUY CALL,  23442,                 +4
23283,   1679000,  -909000,         244300000,    224900000,  23297,    BUY CALL,  23341,                 +14
23352,   2142000,  587000,          230200000,    254200000,  23349,    BUY PUT,   23332,                 -3
23338,   580000,  184000,           231200000,    243300000,  23349,    BUY CALL,  23436,                 +11
23365,   8519000,  -3025000,        361600000,    234500000,  23371,    BUY PUT,   23339,                 +6
23345,   -4319000,  1692000,        400900000,    234300000,  23342,    BUY PUT,   23322,                 -3
23271,   1243000,   -1382000,       400200000,    234700000,  23260,    BUY PUT,   23197,                 -11
